ts,eval_id,gen,idx,score,type1,type2,type3,type4,c9,c10,c11,c12,L_st_position,L_st_span,L_st,L_st_straight,delta_st,L_w_position,L_w_span,L_w,L_w_straight,delta_w,u_L_st_position,u_L_st_span,u_L_st,u_L_st_straight,u_delta_st,u_L_w_position,u_L_w_span,u_L_w,u_L_w_straight,u_delta_w,traj1_n_points,traj1_X_final,traj1_m_final,traj1_mdot_final,traj1_v_final,traj1_theta_final,traj2_n_points,traj2_X_final,traj2_m_final,traj2_mdot_final,traj2_v_final,traj2_theta_final
1768766306.0237248,1,0,0,8005327.906013081,470.15489271089683,4857.751120369953,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,1.1725540561028356,0.7045066645616748,0.1760474387373155,0.024911886957579756,0.021766963392983178,4.915273662410744,1.6454959308256472,2.218233799401516,0.31750577168036975,0.03064861014125641,0.9085135203427857,0.6642121188200849,0.30418975494926204,0.04843416824771606,0.1766963392983178,0.5830547324821488,0.5252755171253596,0.8591168997007581,0.025008245257671067,0.06486101412564108,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
1768766306.2265797,2,0,1,8042094.872569687,436.2912146751289,41658.5813550116,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,1.1826742223543718,0.41761236330415497,0.20970817557976507,0.017778542387303788,0.020072972948954652,2.02548433770409,1.7152776995955612,0.5001355792823712,0.6168746129278144,0.030054233999686087,0.9422474078479061,0.3381958673910852,0.43883270231906024,0.009665991235346673,0.007297294895465312,0.005096867540818017,0.5640431664419785,6.778964118556837e-05,0.4526780184683063,0.005423399968608918,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
1768766306.428004,3,0,2,8010733.407776273,0.03940161402815087,10733.368374659272,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,1.0018035341764058,0.6445639802918769,0.21804630562852723,0.0414851725432127,0.022845532721962755,3.9208220485130907,2.202143534143637,0.8653934793037877,0.4476619221137591,0.03469861175534014,0.3393451139213524,0.59609543214986,0.472185222514109,0.13850637251746034,0.2845532721962757,0.3841644097026181,0.8345241856353538,0.18269673965189387,0.21094560301965587,0.469861175534014,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
1768766306.6295714,4,0,3,8000305.916806199,225.42155403069924,80.49525216759814,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,1.1985725014762134,0.36647410223844007,0.1662266115793437,0.17283628732313477,0.02194596133916936,4.11029077810093,1.875934430660712,2.352341890121237,0.303297567415422,0.03116141847702736,0.9952416715873786,0.28008420708913645,0.2649064463173748,0.8523711267561673,0.19459613391693592,0.422058155620186,0.6532969059226178,0.9261709450606186,0.004710810593460061,0.11614184770273579,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
1768766306.8316445,5,0,4,8000056.461098277,56.46109827657988,0.0,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,0.9310928969202468,0.7076860942305536,0.18548299842785465,0.17096790674831353,0.02001696625115291,3.76624013664431,1.866712377406418,1.9554658673014924,0.7597614258291546,0.03239698095690741,0.10364298973415603,0.6678251070801745,0.34193199371141864,0.842216884501704,0.0016966251152912139,0.353248027328862,0.6481735430035656,0.7277329336507462,0.6568020368987924,0.23969809569074157,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
1768766307.0346022,6,0,5,8055329.862711486,126.03400440399514,55203.82870708204,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,0.9334203657481736,0.2720616245459416,0.26570623547303185,0.119018414107204,0.021035542230789194,2.0111233198370875,0.9957007402346925,1.4717280066946932,0.4770053802701311,0.030000243605939888,0.1114012191605786,0.17279730062038823,0.6628249418921276,0.5598826853652391,0.10355422307891954,0.0022246639674174955,0.1642781890192736,0.4858640033473466,0.2528648289573302,2.436059398904327e-05,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
1768766307.235873,7,0,6,8026066.102133091,1061.1390970889586,25004.96303600205,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,1.1617374780411014,0.33786147985912796,0.18070584428514402,0.1141396464416687,0.02001140705873944,6.845689629899923,1.4623491502374508,1.3790075294545172,0.5634827830372109,0.030853554570366433,0.872458260137005,0.24756986347628174,0.3228233771405762,0.5333676437047212,0.0011407058739438287,0.9691379259799846,0.4235273056874727,0.43950376472725866,0.3764039757674442,0.08535545703664339,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
1768766307.4369297,8,0,7,8027341.342449529,1131.9621564389067,26209.380293090235,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,1.0500707681642028,0.5799062990941878,0.30973923382140534,0.036317991109113074,0.02237610429292154,5.94969369489786,2.300884503626826,2.3812732519527833,0.751733291440456,0.032727832055758806,0.5002358938806755,0.5226207944252134,0.8389569352856215,0.11042386472344062,0.2376104292921538,0.789938738979572,0.8893802797926811,0.9406366259763915,0.6453332734863658,0.27278320557588037,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
1768766307.6385367,9,0,8,8017435.68361269,34.69750312914027,17400.986109561625,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,1.0375270808688817,0.7732519116525982,0.2345121329033962,0.043296487306890535,0.02296601006938394,3.2666681562587447,1.223361566260569,2.288255981945003,0.3449642201123658,0.033407549991243124,0.45842360289627243,0.7423317177870434,0.5380485316135849,0.14835047449397032,0.2966010069383943,0.2533336312517489,0.2907564257003161,0.8941279909725014,0.0642346001605226,0.34075499912431245,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
1768766307.840498,10,0,9,8008646.467523423,757.2927379080531,7889.174785514643,4000000.0,4000000.0,1000.0,1000.0,1000.0,1000.0,1.1286982904996632,0.3820678908226296,0.12349144432587314,0.056506179254940614,0.02588572988603142,6.187959304876391,1.9934180166609037,1.5337409950907677,0.32560345377533184,0.030310997957163886,0.7623276349988777,0.2978044213893518,0.09396577730349254,0.22014227855945986,0.5885729886031422,0.8375918609752782,0.7185655648116132,0.5168704975453838,0.03657636253618836,0.03109979571638883,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
