gen,eval,f,t_engine,J,mdot_A,kB,mdot_B,t1_vel_margin,t2_vel_margin,t1_mass_margin,t2_mass_margin
1,1,48.52099999999999,57.14456606893552,2100.0,11.605040374178786,1.2403858713873168,-0.2644977817573723,-22.399999999999977,-23.80000000000001,70.80000000000001,253.20000000000005
1,9,38.39999999999998,53.71314454999728,2100.0,12.173337796944878,0.897388820941711,-0.21080474284303832,31.200000000000045,-12.5,-25.899999999999977,249.29999999999995
1,13,34.5,56.114921370309794,2100.0,10.553299232684747,1.0018629098409255,-0.17638878750878878,108.39999999999998,-34.5,6.100000000000023,257.0
1,14,6.600000000000023,49.251287856162286,2100.0,12.850832217870162,1.166414380346935,-0.30574937539336605,0.5,-6.600000000000023,50.5,247.20000000000005
2,27,1.258,54.88912999729685,2100.0,13.637055450746827,1.0650048006831163,-0.30649551585538976,114.89999999999998,3.6000000000000227,15.800000000000011,243.79999999999995
3,49,0.0,45.48726343919475,2100.0,13.633075501711758,1.1100909369476457,-0.32741282530564114,3.7000000000000455,2.6000000000000227,35.10000000000002,244.10000000000002
