gen,eval,f,t_engine,J,mdot_A,kB,mdot_B,t1_vel_margin,t2_vel_margin,t1_mass_margin,t2_mass_margin
1,1,48.52099999999999,57.14456606893552,2100.0,11.605040374178786,1.2403858713873168,-0.2644977817573723,-22.399999999999977,-23.80000000000001,70.80000000000001,253.20000000000005
1,2,58.35300000000002,52.229123819831955,2100.0,14.632569963044183,1.1459329385618577,-0.37744027071395375,-54.10000000000002,14.899999999999977,56.60000000000002,239.89999999999998
1,3,70.5,50.64647471213834,2100.0,7.9938548452012945,0.9917815976545643,-0.06948911084023013,21.100000000000023,-69.5,-1.0,269.0
1,4,179.8,55.43123483779465,2100.0,3.8938768930068677,0.9797114230726647,0.06323318356168332,-51.10000000000002,-128.7,9.600000000000023,289.70000000000005
1,5,89.39999999999998,46.99213442850204,2100.0,6.548847976677708,0.8734554170353588,0.005739803846994977,91.29999999999995,-89.39999999999998,3.1999999999999886,275.9
1,6,51.39999999999998,63.661126138894225,2100.0,9.719472151970969,0.8718997980909715,-0.13069767475651092,43.799999999999955,-46.0,-5.399999999999977,260.9
1,7,115.70000000000005,50.142679430033134,2100.0,5.759177353980363,1.0969640134106908,0.022878645996041915,-11.5,-99.60000000000002,-4.600000000000023,279.6
1,8,77.0,49.76433049733798,2100.0,7.544404620981103,1.2811152876449057,-0.06253490071431461,120.39999999999998,-77.0,19.19999999999999,271.6
1,9,38.39999999999998,53.71314454999728,2100.0,12.173337796944878,0.897388820941711,-0.21080474284303832,31.200000000000045,-12.5,-25.899999999999977,249.29999999999995
1,10,130.5,55.20863001956854,2100.0,5.183287424614678,1.074608577287986,0.020334266799531497,-21.100000000000023,-109.39999999999998,8.699999999999989,283.0
1,11,55.30000000000001,58.77046959909334,2100.0,9.124133685697817,1.0123606266013014,-0.12968513423022193,115.39999999999998,-55.30000000000001,18.80000000000001,264.1
1,12,68.19999999999999,43.86013513900377,2100.0,8.002886567012709,1.1821452336307123,-0.04425436535504607,160.89999999999998,-68.19999999999999,6.699999999999989,268.6
1,13,34.5,56.114921370309794,2100.0,10.553299232684747,1.0018629098409255,-0.17638878750878878,108.39999999999998,-34.5,6.100000000000023,257.0
1,14,6.600000000000023,49.251287856162286,2100.0,12.850832217870162,1.166414380346935,-0.30574937539336605,0.5,-6.600000000000023,50.5,247.20000000000005
1,15,35.5,48.15977093974138,2100.0,10.576633067551827,1.1719477138438208,-0.1964240571126709,97.60000000000002,-35.5,32.30000000000001,257.29999999999995
