gen,eval,f,t_engine,J,mdot_A,kB,mdot_B,t1_vel_margin,t2_vel_margin,t1_mass_margin,t2_mass_margin
1,1,70.10000000000002,48.07704265912499,2100.0,11.605040374178786,1.2403858713873168,-0.1399938180989169,-51.30000000000001,-18.80000000000001,31.600000000000023,352.1
1,6,48.80000000000001,53.559575085676514,2100.0,9.719472151970969,0.8718997980909715,-0.05657645960142591,155.5,-38.10000000000002,-10.699999999999989,362.1
1,9,23.900000000000034,45.1901085182931,2100.0,12.173337796944878,0.897388820941711,-0.10776197894681354,7.5,-10.100000000000023,-13.800000000000011,347.70000000000005
3,25,11.199999999999989,47.74891985687921,2100.0,12.814177847128967,1.014706173583901,-0.164103301018482,-5.699999999999989,-5.5,3.3999999999999773,345.29999999999995
5,49,9.800000000000011,52.91864292699795,2100.0,12.463678067198794,1.0943347031787558,-0.18136972621033767,29.700000000000045,-9.800000000000011,20.0,347.5
6,55,3.1000000000000227,51.37650599146011,2100.0,13.118285990587264,1.0272349586212475,-0.1918393586948432,31.5,-3.1000000000000227,7.7000000000000455,344.0
6,56,0.6999999999999886,56.136221982422725,2100.0,13.446397926028496,1.04686289773912,-0.21747994996407263,16.19999999999999,-0.6999999999999886,21.899999999999977,342.79999999999995
7,70,0.0,53.528430777247756,2100.0,13.471932730116043,1.0124168178070512,-0.20750226704829644,52.39999999999998,0.8999999999999773,4.2000000000000455,342.0
