ts,eval_id,gen,idx,score,type1,type2,type3,type4,c9,c10,c11,c12,L_st_position,L_st_span,L_st,L_st_straight,delta_st,L_w_position,L_w_span,L_w,L_w_straight,delta_w,u_L_st_position,u_L_st_span,u_L_st,u_L_st_straight,u_delta_st,u_L_w_position,u_L_w_span,u_L_w,u_L_w_straight,u_delta_w,traj1_n_points,traj1_X_final,traj1_m_final,traj1_mdot_final,traj1_v_final,traj1_theta_final,traj2_n_points,traj2_X_final,traj2_m_final,traj2_mdot_final,traj2_v_final,traj2_theta_final
1768742256.143561,1,0,0,59615.94770920969,59.332137005395076,22275.70143487831,22085.989683258456,15194.924454067535,0.0,0.0,66.83893932853007,103.57355185328257,1.1421321862183977,0.43237024408153085,0.1295485647684183,0.09812471991674244,0.02135201945238357,3.8104999985004877,1.5029390111008625,1.9267310544579361,0.6888380111301651,0.031064540421841706,0.8071072873946594,0.3549661864562851,0.11819425907367326,0.4463299995475133,0.1352019452383571,0.3620999997000976,0.44607722838936803,0.7133655272289681,0.5554828730430931,0.10645404218417065,52,28770.0,395.7,0.0,466.7,0.5655,7,2317.0,629.1,11.74,501.2,0.6187
1768742322.180581,3,0,2,16451.281691004355,63.45776228235834,7061.2647085199105,6944.127744129545,2382.4314760725397,0.0,0.0,0.0,48.81015750919617,1.036687061257142,0.5134794363216127,0.20096891034514253,0.0579743924187477,0.022112177441625486,4.453286148767357,1.6095675397151852,1.3127271479835967,0.4510072145060924,0.030017830190732155,0.4556235375238066,0.44713572309274174,0.40387564138057014,0.22812169792797665,0.21121774416254868,0.49065722975347137,0.5053152998417696,0.4063635739917983,0.21572459215156053,0.0017830190732156346,51,29420.0,395.7,0.0,548.4,0.5187,7,2326.0,629.4,11.75,508.7,0.6129
1768742520.2083218,9,0,8,15861.208754246743,1.2190465028209339,5028.899422673772,4930.293695820198,5900.796589249952,0.0,0.0,76.69737126969454,4.278998664242181,1.0528632779356746,0.5919310813750895,0.2575471610101486,0.0812833795314963,0.020895504115955803,3.3810289557957978,1.39496488705637,1.4627127526529777,0.45568820150613876,0.030535694217089394,0.5095442597855817,0.53628531974442,0.6301886440405944,0.35480097571465374,0.08955041159558041,0.2762057911591595,0.3860916039202056,0.48135637632648887,0.2224117164373411,0.05356942170893941,51,29250.0,395.7,0.0,527.7,0.5293,7,2322.0,629.3,11.74,505.7,0.6151
1768742883.3391683,20,1,4,14391.991488271158,6.5809318171641555,7159.096755250874,7041.130731173187,185.18307002993362,0.0,0.0,0.0,13.608198632807122,1.0020623783019063,0.9731760325501445,0.157877878482028,0.08108750896946093,0.021563143958341933,3.9089705736022227,1.6651663490663897,1.3178626955299533,0.31208906823717353,0.030045245555742166,0.3402079276730205,0.9695182188069824,0.23151151392811203,0.3537364617905485,0.15631439583419315,0.38179411472044456,0.5362035272591055,0.40893134776497664,0.01727009748167652,0.0045245555742165645,50,29620.0,395.7,0.0,573.4,0.5068,7,2332.0,629.6,11.75,513.9,0.6088
1768742916.3467312,21,1,5,3275.1491681100365,0.0,1.1072280851178593,0.12407940055442371,3273.917860624364,0.0,0.0,57.19737126969456,1.5422647182256697,1.0892196627329063,0.5802063862059594,0.10284688852189512,0.04797835056684252,0.02111974155860147,4.134136920125562,1.5732117314206586,0.5007379954595874,0.40171220701096666,0.030412234356486392,0.630732209109688,0.5229618025067722,0.01138755408758047,0.1737953835154485,0.11197415586014706,0.42682738402511244,0.4851176285670326,0.0003689977297937242,0.14530315287280957,0.041223435648639374,49,30090.0,395.7,0.0,649.1,0.4777,7,2331.0,629.6,11.75,512.6,0.6098
1768743543.5728698,40,2,9,2350.47167016817,12.799016639038621,85.55191347524519,73.26911464244185,2178.8516254114443,0.0,0.0,44.397371269694546,14.412669764909818,1.0060472561554867,0.9947726390939035,0.15742733259772837,0.07061728288623634,0.02008316706465696,4.382088854015638,1.2701903039959686,0.9459682792331428,0.3258454853965448,0.030000567882236744,0.35349085385162216,0.9940598171521631,0.22970933039091346,0.29683305916432795,0.008316706465695895,0.4764177708031275,0.31677239110887145,0.22298413961657138,0.03692212199506401,5.678822367457073e-05,50,29570.0,395.7,0.0,575.4,0.507,7,2322.0,629.3,11.74,505.8,0.6151
1768743642.585381,43,2,12,1230.8616494512064,55.73055986151038,381.05136981711706,354.2126178360732,439.8671019365058,0.0,0.0,15.335897050479694,14.30654967466279,1.0261815497104965,0.8543897065236914,0.164373663971166,0.0716534452471896,0.021014499659000912,3.3578922509682094,1.6251868291127272,0.5010787150250047,0.4044244423217619,0.03391247793947421,0.42060516570165485,0.8345337574132857,0.2574946558846641,0.3024643763434217,0.10144996590009103,0.2715784501936419,0.513992682840404,0.0005393575125023507,0.14917777474537416,0.3912477939474209,49,30070.0,395.7,0.0,644.9,0.4792,7,2330.0,629.6,11.75,512.2,0.6101
1768744137.5910552,58,3,12,967.3589692889371,33.59984340044755,24.04475520599595,17.669791972026612,892.044578710467,0.0,0.0,26.23371562636507,14.277140580153867,1.1374474408839566,0.906612761824584,0.14179466475228222,0.07874344725862788,0.0224798870033281,3.5248757270625686,1.5156043614514219,0.5064125326370341,0.40080390476073546,0.03136375730868202,0.7914914696131883,0.8938781384370272,0.16717865900912893,0.3409969959708037,0.24798870033280979,0.3049751454125137,0.4531135341396788,0.003206266318517043,0.14400557822962212,0.13637573086820234,49,30060.0,395.7,0.0,644.5,0.4794,7,2330.0,629.6,11.75,512.3,0.61
1768744500.6565096,69,4,8,698.1903368502581,124.6009441669003,180.286001509099,161.97811431511155,231.3252768591472,0.0,0.0,5.006930918935151,14.361612710004348,0.9974855983750603,0.9999508888077896,0.10039739683839058,0.020211120497843103,0.022389630052328757,2.947492937725812,1.7097207371250005,0.5417591320772245,0.3085906646200887,0.03224586563251118,0.3249519945835347,0.9999441918270336,0.0015895873535622948,0.02288652444479947,0.23896300523287556,0.18949858754516247,0.5609559650694448,0.020879566038612216,0.012272378028698159,0.22458656325111842,49,30110.0,395.7,0.0,652.3,0.4767,7,2331.0,629.6,11.75,513.0,0.6095
1768745820.8676927,109,7,3,574.549529480802,108.77993358287026,136.90791591024868,121.01684405325352,207.84483593442957,0.0,0.0,1.8278616194729835,14.300481035073162,1.138951559440394,0.9783243887654806,0.18161463493055854,0.03472719370838367,0.02301779116791289,2.8367361407610137,1.4854981766184037,0.7327797239340051,0.310456244752009,0.030014318440856006,0.7965051981346467,0.975368623597137,0.3264585397222342,0.1017782266759982,0.3017791167912891,0.16734722815220276,0.43638787589911315,0.11638986196700257,0.014937492502870008,0.0014318440856008086,49,29900.0,395.7,0.0,621.2,0.488,7,2328.0,629.5,11.75,510.6,0.6114
