ts,eval_id,gen,idx,score,type1,type2,type3,type4,c9,c10,c11,c12,L_st_position,L_st_span,L_st,L_st_straight,delta_st,L_w_position,L_w_span,L_w,L_w_straight,delta_w,u_L_st_position,u_L_st_span,u_L_st,u_L_st_straight,u_delta_st,u_L_w_position,u_L_w_span,u_L_w,u_L_w_straight,u_delta_w,traj1_n_points,traj1_X_final,traj1_m_final,traj1_mdot_final,traj1_v_final,traj1_theta_final,traj2_n_points,traj2_X_final,traj2_m_final,traj2_mdot_final,traj2_v_final,traj2_theta_final
1767618920.1867266,1,0,0,4217.742417189647,1.0363629548107738,782.9487507638777,0.0,3433.757303470959,0.0,0.0,0.0,58.598270481908926,1.0917373049312251,0.6520057511371009,0.21006460835191373,0.079119730727264,0.025156626922657625,3.5741037493844305,1.7367083267580847,1.187280835602084,0.3993107349391441,0.02537914191553617,0.6391243497707503,0.6083453148689604,0.5629038021994608,0.4862457926135,0.5156626922657626,0.42569202282382584,0.5269914167338858,0.1775631528141282,0.24827683734786027,0.2689570957768084,50,29590.0,395.7,0.0,570.4,0.5083,7,2329.0,629.5,11.75,510.9,0.6111
1767619448.7008007,17,1,2,3236.9482481207447,4.174593839700253,121.77696183154835,0.02560000000000073,3110.971092449496,0.0,0.0,0.0,55.77607993082246,1.1048046025547196,0.6670727893126882,0.23222808980585447,0.08177446267402018,0.02292499536352602,3.341352645016249,1.8910186529433504,1.1125954509329767,0.47402981504357633,0.033734731065521356,0.6826820085157318,0.6397349777347673,0.7014255612865903,0.5277259792815653,0.29249953635260184,0.3491291595448187,0.6404548918701106,0.11921519604138814,0.435074537608941,0.6867365532760678,50,29560.0,395.7,0.0,568.3,0.5094,7,2327.0,629.5,11.75,508.4,0.6126
1767619547.786891,20,1,5,748.1383833587757,157.82913466793488,587.2470441782913,0.0,3.0622045125496236,0.0,0.0,0.0,1.749915572977629,0.990060498791009,0.7695979872588237,0.2205912259044076,0.07935710426069997,0.023099130716493728,2.355794241343212,1.6714626394044414,0.9934502562050121,0.30351240366144133,0.035695383287352826,0.3002016626366967,0.8533291401225492,0.6286951619025475,0.48995475407343697,0.3099130716493729,0.024932316231319876,0.47901664662091276,0.026133012660165777,0.00878100915360339,0.7847691643676412,49,29810.0,395.7,0.0,601.7,0.4951,7,2333.0,629.7,11.75,514.2,0.6085
1767619679.9706314,24,1,9,563.0280593637998,0.5398981188316497,66.79252992115293,0.3721000000000028,495.32353132381525,0.0,0.0,21.892533289828116,4.0050614823723985,1.0486363893653434,0.7624786283972714,0.22484137045568342,0.06818352006066591,0.027927479409675257,2.9453009195440365,1.476245138427915,1.6679251317751804,0.5215941837474225,0.03529278952397377,0.49545463121781114,0.8384971424943155,0.6552585653480214,0.315367500947905,0.7927479409675259,0.21884898669211725,0.33547436649111395,0.5530665091993595,0.5539854593685563,0.7646394761986886,51,29110.0,395.7,0.0,509.3,0.5393,7,2320.0,629.2,11.74,503.9,0.6165
1767619812.0997803,28,1,13,495.3845409772982,84.17385968577378,0.0,0.10890000000000075,411.1017812915244,0.0,0.0,0.0,20.27564502775496,1.1225476582654177,0.8156626550108061,0.12006491010631341,0.07451723707077895,0.021940876631549793,4.147231010362348,1.8126465941808758,1.739541992990453,0.4436396566316579,0.034143135651221033,0.7418255275513927,0.9492971979391795,0.0004056881644588594,0.414331829230921,0.19408766315497922,0.6142207270928777,0.5828283780741734,0.6090171820237914,0.3590991415791448,0.7071567825610516,51,29320.0,395.7,0.0,535.9,0.525,7,2323.0,629.3,11.74,506.7,0.6144
1767619944.234403,32,2,3,285.0605631798761,0.5495397900011373,0.0,0.08409999999999866,284.42692338987496,0.0,0.0,0.0,16.864961410862314,1.0680210226684828,0.8106422461691785,0.2061099283574644,0.06406206987575248,0.028116000612167798,3.2518963200566757,1.884734179346663,1.5693362008572462,0.6702357305726007,0.0342186874402855,0.5600700755616093,0.9388380128524552,0.5381870522341523,0.2509698418086326,0.81160006121678,0.3197027368607487,0.6358339554019581,0.4760439069197234,0.9255893264315017,0.7109343720142751,51,29170.0,395.7,0.0,513.2,0.5367,7,2324.0,629.4,11.74,507.1,0.614
1767619977.288728,33,2,4,50.287279233735084,1.66142963297498,0.0,0.16000000000000003,48.4658496007601,0.0,0.0,0.0,6.961741851057112,1.1527964900110372,0.8233363448363364,0.1760999658353117,0.06999579998883332,0.024361844452401228,3.008002416654047,1.8005389080974097,1.8356573769534261,0.38116341085306793,0.03943249314299511,0.8426549667034573,0.9652840517423678,0.35062478647069817,0.3436843748255206,0.4361844452401228,0.2394744791625155,0.5739256677186836,0.6841073257448641,0.2029085271326698,0.9716246571497554,51,29250.0,395.7,0.0,526.7,0.5298,7,2323.0,629.3,11.74,506.0,0.6149
1767620671.0906215,54,3,11,3.432679742469957,0.0,0.0,0.30250000000000005,3.1301797424699567,0.0,0.0,0.0,1.7692313987915647,0.9496408251057582,0.8213523852253448,0.2292441843883669,0.05555304308576161,0.02846583623318008,2.94041876060834,1.5511137720951074,1.755247554722719,0.4270954745094833,0.03946350715509886,0.16546941701919382,0.9611508025528018,0.6827761524272931,0.11801629821502516,0.8465836233180082,0.21724301335800655,0.39052483242287317,0.6212871521271243,0.3177386862737084,0.973175357754943,51,29150.0,395.7,0.0,513.8,0.5368,7,2321.0,629.3,11.74,504.5,0.616
1767626815.9779575,240,17,1,2.567026682837232,2.334516875975901,0.0,0.21160000000000212,0.020909806861328865,0.0,0.0,0.0,0.14460223670928768,1.049422266057423,0.8305264478588859,0.21127414833731795,0.079538962937947,0.024518971894990985,2.6787343283270637,1.5941377970005015,1.7865475771224075,0.3263240460176949,0.03934575491283127,0.49807422019140996,0.9802634330393455,0.570463427108237,0.49279629590542184,0.45189718949909835,0.13116260800232366,0.42216014485331,0.6457402946268808,0.06581011504423726,0.9672877456415636,51,29220.0,395.7,0.0,522.9,0.5318,7,2322.0,629.3,11.74,505.4,0.6154
1767626948.1192358,244,17,5,1.9926954835525748,0.18241654548057276,0.0,0.12960000000000163,1.6806789380720004,0.0,0.0,0.0,1.2964100192732237,1.0624833047264568,0.8399216445582475,0.18022694527053723,0.05948154892310954,0.022474802556617594,3.0626432352277506,1.641401900335582,1.6479388805360744,0.4357642247160825,0.03995970245675514,0.5416110157548562,0.999836759496349,0.3764184079408576,0.17939920192358658,0.24748025566175932,0.25744843264070744,0.4569131620114574,0.5374522504188081,0.33941056179020634,0.997985122837757,51,29310.0,395.7,0.0,535.2,0.5254,7,2323.0,629.3,11.74,506.4,0.6146
1767626981.1434276,245,17,6,0.9459632526676425,0.32611920368944153,0.0,0.14440000000000086,0.4754440489782001,0.0,0.0,0.0,0.6895245093382831,1.0407855078866435,0.8307467503763528,0.21541240826199365,0.06914936746209681,0.02360299542405147,2.886504790102574,1.6090387815041822,1.7088469954020007,0.3207296977945868,0.039314108351465024,0.46928502628881186,0.9807223966174017,0.5963275516374601,0.33045886659526263,0.36029954240514694,0.1995081546390047,0.43311675110601644,0.5850367151578129,0.051824244486467094,0.965705417573251,51,29300.0,395.7,0.0,533.1,0.5265,7,2323.0,629.3,11.74,506.2,0.6147
