ts,eval_id,gen,idx,score,type1,type2,type3,type4,c9,c10,c11,c12,L_st_position,L_st_span,L_st,L_st_straight,delta_st,L_w_position,L_w_span,L_w,L_w_straight,delta_w,u_L_st_position,u_L_st_span,u_L_st,u_L_st_straight,u_delta_st,u_L_w_position,u_L_w_span,u_L_w,u_L_w_straight,u_delta_w,traj1_n_points,traj1_X_final,traj1_m_final,traj1_mdot_final,traj1_v_final,traj1_theta_final,traj2_n_points,traj2_X_final,traj2_m_final,traj2_mdot_final,traj2_v_final,traj2_theta_final
1767618920.1867266,1,0,0,4217.742417189647,1.0363629548107738,782.9487507638777,0.0,3433.757303470959,0.0,0.0,0.0,58.598270481908926,1.0917373049312251,0.6520057511371009,0.21006460835191373,0.079119730727264,0.025156626922657625,3.5741037493844305,1.7367083267580847,1.187280835602084,0.3993107349391441,0.02537914191553617,0.6391243497707503,0.6083453148689604,0.5629038021994608,0.4862457926135,0.5156626922657626,0.42569202282382584,0.5269914167338858,0.1775631528141282,0.24827683734786027,0.2689570957768084,50,29590.0,395.7,0.0,570.4,0.5083,7,2329.0,629.5,11.75,510.9,0.6111
1767618953.252274,2,0,1,13085.103368554537,7.324014284213522,479.29556786742955,0.27039999999999886,12598.213386402895,0.0,0.0,58.79737126969456,95.60900856183267,1.0979006757642131,0.5862870979199283,0.1763017486706283,0.07249244812503249,0.020301282631421134,3.7052304380415704,1.4387306996466922,1.5253274015139882,0.4902012068966799,0.03060937435866016,0.6596689192140438,0.4714314539998506,0.3518859291914268,0.3826945019536325,0.030128263142113546,0.46882580198735874,0.3078902203284502,0.4416620324328033,0.4755030172416998,0.530468717933008,51,29230.0,395.7,0.0,523.9,0.5313,7,2321.0,629.3,11.74,504.8,0.6158
1767618986.2892876,3,0,2,480929.7304052785,309.7328123308318,782.1658829299894,755.962662705641,479081.86904731207,0.0,0.0,0.0,692.1574019305956,1.0395536888894126,0.5319556347162764,0.17984477125335077,0.07984577260287885,0.02118071895063278,4.797207832428615,2.1118838812554643,1.9329080167591366,0.578554665497901,0.03995401993224637,0.46517896296470856,0.3582409056589093,0.3740298203334423,0.4975901969199821,0.11807189506327787,0.8280288922462548,0.8028557950407826,0.7600843880930754,0.6963866637447528,0.9977009966123186,52,28880.0,395.7,0.0,474.7,0.5594,7,2320.0,629.2,11.74,503.8,0.6166
1767619019.3322883,4,0,3,14590.855724138732,21.588060136249144,933.9021211461621,0.3969000000000014,13634.96864285632,0.0,0.0,114.89737126969455,20.822168911289992,1.0213154617385294,0.6660528867329503,0.2044963055787406,0.08423684691595154,0.02032956928010573,3.8944470900549595,1.2752182311379314,1.5397649210316804,0.30365312249605464,0.031070490229500487,0.4043848724617646,0.6376101806936465,0.5281019098671287,0.5662007330617428,0.03295692801057288,0.5310681217286052,0.18766046407200843,0.4529413445560002,0.009132806240136649,0.5535245114750245,51,29220.0,395.7,0.0,523.4,0.5317,7,2320.0,629.2,11.74,503.7,0.6166
1767619052.3629553,5,0,4,76997.3338384898,43.89317454048738,606.7673161714997,0.29159999999999753,76346.3817477778,0.0,0.0,52.59737126969455,271.2561488396083,0.9669571137950276,0.5349750844184762,0.18404356553305914,0.08469879321784347,0.02156036588719533,4.122861332619668,1.4631321456307487,1.509957908915907,0.4796471879850839,0.02837881455910193,0.2231903793167585,0.36453142587182547,0.40027228458161956,0.5734186440288043,0.15603658871953302,0.606204385730154,0.3258324600226093,0.4296546163405523,0.4491179699627097,0.4189407279550965,51,29260.0,395.7,0.0,527.6,0.5293,7,2321.0,629.3,11.74,504.6,0.6159
1767619085.3820043,6,0,5,16729.327609482414,0.4695043338922708,0.0,0.0025000000000000005,16728.85560514852,0.0,0.0,0.0,129.34007733548222,1.129485313005245,0.6389708795664455,0.13903507329637127,0.055219018712647776,0.020836525526431667,3.3017714446010267,2.178558939027562,1.4810974441855809,0.5131485632940868,0.02930469133976592,0.7649510433508167,0.5811893324300947,0.11896920810232037,0.11279716738512147,0.08365255264316653,0.3361090278292852,0.8518815728143841,0.40710737826998494,0.532871408235217,0.465234566988296,51,29350.0,395.7,0.0,536.4,0.5244,7,2327.0,629.5,11.75,509.5,0.6122
1767619118.405692,7,0,6,4970.268567875204,14.3596297213192,0.0,0.0961000000000014,4955.8128381538845,0.0,0.0,0.0,70.39753431870952,1.0345325965873293,0.6630506446309651,0.24773313029496186,0.08771541461857862,0.020584659409129607,3.7390673595971275,1.7589083676442554,1.6011362053947775,0.4012183151257035,0.03932419702392573,0.44844198862443096,0.6313555096478439,0.7983320643435114,0.6205533534152908,0.05846594091296074,0.47995636828852883,0.5433149762090114,0.5008876604646698,0.2530457878142588,0.9662098511962863,51,29360.0,395.7,0.0,540.4,0.5227,7,2324.0,629.4,11.74,506.9,0.6141
1767619151.431186,8,0,7,18021.69754117943,2.0012257181482,905.3738539434709,2.0735999999999937,17112.24886151781,0.0,0.0,125.74262049369602,36.06996330599949,1.1694810043983677,0.6088361398673101,0.17198368088203,0.08127445139724312,0.020020784417179964,3.278185072235895,1.2791825193407635,1.608873156702721,0.5005166411983879,0.027691723855918608,0.898270014661226,0.5184086247235627,0.32489800551268755,0.519913303081924,0.002078441717996428,0.3283503527091761,0.19057538186820844,0.5069321536740008,0.5012916029959698,0.3845861927959305,52,29000.0,395.7,0.0,495.6,0.5472,7,2318.0,629.2,11.74,502.2,0.6178
1767619184.4799533,9,0,8,713544.322424304,138.7671109428803,0.0,0.10239999999999926,713405.4529133611,0.0,0.0,0.0,844.6333245340022,1.009986263972174,0.5076465485864726,0.19916975057644987,0.06947652440184537,0.02092966293665503,4.582808190585348,1.9906040936995772,1.5654507547206362,0.5208279746288197,0.0364061590911951,0.3666208799072466,0.3075969762218179,0.4948109411028115,0.335570693778834,0.0929662936655028,0.757502694271496,0.7136794806614539,0.47300840212549694,0.5520699365720494,0.8203079545597551,51,29210.0,395.7,0.0,516.8,0.5345,7,2324.0,629.4,11.74,506.8,0.6142
1767619217.5344265,10,0,9,23390.03910999433,10.420046531819327,333.52897963364745,0.019599999999999368,23046.070483828862,0.0,0.0,0.0,151.8093227829861,1.135236742414171,0.5929544876771762,0.24136355196413084,0.06570995150967075,0.020036004648012824,3.8296740153867566,1.8292277966348536,1.4108347952462248,0.45637793541265603,0.026013668173696727,0.7841224747139031,0.48532184932745054,0.7585221997758177,0.2767179923386055,0.0036004648012824205,0.5097611892719595,0.5950204387020983,0.3522146837861131,0.3909448385316402,0.30068340868483634,51,29380.0,395.7,0.0,541.0,0.5221,7,2326.0,629.4,11.75,508.6,0.6129
